x, y
-1.562595, 32.00811755993328
1.646117, 32.33184435043561
-1.504795, 32.644270144108674
-1.526585, 32.94283306066613
1.486585, 33.23703455853615
1.593282, 33.51502542441188
1.714304, 33.78603601674686
-1.70323, 34.04518081536125
1.818738, 34.295835402851104
-1.686117, 34.541827385712544
1.949483, 34.7856555281848
-1.643407, 35.02564499101091
-1.550894, 35.254772078048674
-1.657164, 35.47544185668976
-1.946648, 35.69571905820161
2.033381, 35.9014276523502
1.603407, 36.10333366570965
2.015888, 36.30125024764665
1.510894, 36.50059985106969
-1.858738, 36.69548280494187
-1.833864, 36.88647527976195
-1.862612, 37.06235819857063
-1.993077, 37.234140861386365
1.965564, 37.404937004919404
1.875724, 37.57288686117036
1.758125, 37.72868095531326
1.464795, 37.88223049986232
-1.870508, 38.03170084171059
1.830508, 38.17786791184318
-1.793432, 38.322892141387946
1.753432, 38.46657591388746
-2.055016, 38.60751380678275
-1.633282, 38.74389483118406
-1.915724, 38.88195610530945
1.617164, 39.01236544817835
2.329223, 39.143678700877764
2.236084, 39.27038702280336
2.056793, 39.39995843902639
-2.028538, 39.52761661970525
-1.607557, 39.65173004760434
1.581464, 39.773671373678376
-1.965124, 39.885148815972244
1.66323, 39.996239629489175
1.522595, 40.10269449571444
-1.621464, 40.208180584461516
1.567557, 40.315253309805634
-2.087543, 40.421953038007835
2.424462, 40.525490564926244
2.015016, 40.62880886634238
2.203458, 40.73367787382938
1.793864, 40.83527271269281
-2.529996, 40.9346006957682
-2.167065, 41.029817107361225
2.243514, 41.121503068117065
-2.096793, 41.214580330907154
2.506167, 41.30764061355519
-1.798125, 41.39866789094051
2.261272, 41.493328996607225
-2.464462, 41.58728919175793
2.047543, 41.680181048029226
-2.641166, 41.77237493951815
-1.754304, 41.86376938607487
1.925124, 41.95454080180172
-2.405872, 42.04438966457707
2.519, 42.13388673172612
1.906648, 42.222384393793654
1.953077, 42.38153832268694
2.556538, 42.53918449350887
-2.334999, 42.69536475649255
-2.61551, 42.853285242800304
2.541304, 43.006943683351224
2.416244, 43.1598111575531
-2.073381, 43.312705454708734
1.822612, 43.46496193743404
2.639135, 43.619757080188165
-2.055888, 43.771407461393686
-2.442459, 43.92118470468038
2.000772, 44.070099559983845
-2.276084, 44.21843930002873
-2.601408, 44.36790773495195
-2.243458, 44.51525141573276
-2.040772, 44.6636652854476
-1.989483, 44.812687711466474
2.529103, 44.957927208863644
-2.37204, 45.10226433208037
-2.569103, 45.247603098828044
2.561408, 45.39331817601293
-2.005564, 45.5394717609459
2.365872, 45.685274649438874
2.350996, 45.83098222264296
-2.43008, 45.97677294623373
-2.043606, 46.12612624101727
2.427605, 46.275888393009765
-2.581304, 46.42590120607462
2.127065, 46.57530797798516
-2.369223, 46.72523273659405
2.003606, 46.880361199891425
1.988538, 47.03238001129015
2.33204, 47.187629913028836
-2.390996, 47.34434423949097
-2.546167, 47.50094056730758
-2.596538, 47.66050499885758
-2.525343, 47.81713268637255
-2.733258, 47.97451555042094
-2.448074, 48.132364213749725
2.489996, 48.28952839845183
2.546843, 48.454591341473446
2.601166, 48.62457665955458
2.493506, 48.79474809774287
-2.514269, 48.97209599957156
2.3008, 49.14724230120805
2.564749, 49.32311614088294
2.408074, 49.50118040838931
-2.559, 49.678281248135
-2.86319, 49.85556186713063
-2.533506, 50.032249381665444
2.57551, 50.21073559529113
2.39008, 50.393725664426725
2.294999, 50.578562258271546
-2.634282, 50.762403385411886
2.842446, 50.944643822515964
-2.8804, 51.12765662919162
2.474269, 51.32301127310964
2.693258, 51.520728243818674
-2.984045, 51.72071140661038
-2.84495, 51.92625868058485
-2.531864, 52.13418850537509
-2.3408, 52.34374892879859
-2.283514, 52.557915165816816
-2.781543, 52.78436133571465
-2.679135, 53.01362922602853
-2.580932, 53.250744446838915
-2.301272, 53.49746626835467
2.355628, 53.74741783404796
2.927663, 54.0186147076696
2.594282, 54.126740873408124
-2.977478, 54.23526705884292
-2.73937, 54.34413544495354
2.402459, 54.45400792663682
2.485343, 54.56139323168844
-3.023727, 54.667704854004796
3.038165, 54.77536810127156
